 written on  2Mar2021 at 15:09:35 , onsiteshift=-0.3117
3
49
-3 3 0 1 2 -0.000211 -0
-3 3 0 2 1 -0.000211 -0
-3 3 0 2 2 -0.000177 -0
-3 3 0 3 3 -0.006505 0
-2 -3 0 1 1 0.00026 -0
-2 -3 0 1 2 0.000291 0
-2 -3 0 1 3 1e-06 0
-2 -3 0 2 1 0.000291 0
-2 -3 0 2 2 0.000262 0
-2 -3 0 2 3 1e-06 0
-2 -3 0 3 1 -1e-06 -0
-2 -3 0 3 2 -1e-06 -0
-2 -3 0 3 3 -0.007498 -0
-2 -2 0 1 1 0.00149 -0
-2 -2 0 1 2 0.002612 0
-2 -2 0 1 3 2e-06 0
-2 -2 0 2 1 0.002612 -0
-2 -2 0 2 2 0.00149 -0
-2 -2 0 2 3 2e-06 -0
-2 -2 0 3 1 -2e-06 -0
-2 -2 0 3 2 -2e-06 -0
-2 -2 0 3 3 -0.015625 -0
-2 -1 0 1 1 0.015322 0
-2 -1 0 1 2 0.002156 0
-2 -1 0 1 3 2e-06 0
-2 -1 0 2 1 0.002156 0
-2 -1 0 2 2 -0.001327 0
-2 -1 0 2 3 2e-06 -0
-2 -1 0 3 1 -2e-06 -0
-2 -1 0 3 2 -2e-06 -0
-2 -1 0 3 3 -0.021781 -0
-2 0 0 1 1 0.052991 0
-2 0 0 2 2 0.002892 -0
-2 0 0 3 3 0.006727 0
-2 1 0 1 1 0.015322 -0
-2 1 0 1 2 -0.002156 -0
-2 1 0 1 3 -2e-06 -0
-2 1 0 2 1 -0.002156 -0
-2 1 0 2 2 -0.001327 -0
-2 1 0 2 3 2e-06 -0
-2 1 0 3 1 2e-06 0
-2 1 0 3 2 -2e-06 0
-2 1 0 3 3 -0.021781 0
-2 2 0 1 1 0.00149 -0
-2 2 0 1 2 -0.002612 0
-2 2 0 1 3 -2e-06 -0
-2 2 0 2 1 -0.002612 0
-2 2 0 2 2 0.00149 0
-2 2 0 2 3 2e-06 0
-2 2 0 3 1 2e-06 0
-2 2 0 3 2 -2e-06 -0
-2 2 0 3 3 -0.015625 0
-2 3 0 1 1 0.00026 -0
-2 3 0 1 2 -0.000291 -0
-2 3 0 1 3 -1e-06 -0
-2 3 0 2 1 -0.000291 -0
-2 3 0 2 2 0.000262 -0
-2 3 0 2 3 1e-06 0
-2 3 0 3 1 1e-06 0
-2 3 0 3 2 -1e-06 0
-2 3 0 3 3 -0.007498 0
-1 -3 0 1 1 -0.000417 0
-1 -3 0 1 2 -0.000186 0
-1 -3 0 1 3 1e-06 0
-1 -3 0 2 1 -0.000186 0
-1 -3 0 2 2 0.00101 0
-1 -3 0 2 3 2e-06 -0
-1 -3 0 3 1 -1e-06 -0
-1 -3 0 3 2 -2e-06 0
-1 -3 0 3 3 -0.005992 0
-1 -2 0 1 1 -0.001327 -0
-1 -2 0 1 2 0.002156 -0
-1 -2 0 1 3 2e-06 0
-1 -2 0 2 1 0.002156 0
-1 -2 0 2 2 0.015322 -0
-1 -2 0 2 3 2e-06 -0
-1 -2 0 3 1 -2e-06 -0
-1 -2 0 3 2 -2e-06 0
-1 -2 0 3 3 -0.021781 -0
-1 -1 0 1 1 0.020266 -0
-1 -1 0 1 2 0.010484 -0
-1 -1 0 2 1 0.010484 -0
-1 -1 0 2 2 0.020266 0
-1 -1 0 3 3 -0.125218 -0
-1 0 0 1 1 -0.245454 0
-1 0 0 2 2 -0.046983 -0
-1 0 0 2 3 -4e-06 0
-1 0 0 3 2 4e-06 -0
-1 0 0 3 3 -0.365352 -0
-1 1 0 1 1 0.020266 0
-1 1 0 1 2 -0.010484 0
-1 1 0 2 1 -0.010484 -0
-1 1 0 2 2 0.020266 0
-1 1 0 3 3 -0.125218 0
-1 2 0 1 1 -0.001327 0
-1 2 0 1 2 -0.002156 0
-1 2 0 1 3 -2e-06 -0
-1 2 0 2 1 -0.002156 0
-1 2 0 2 2 0.015322 -0
-1 2 0 2 3 2e-06 0
-1 2 0 3 1 2e-06 0
-1 2 0 3 2 -2e-06 0
-1 2 0 3 3 -0.021781 0
-1 3 0 1 1 -0.000417 -0
-1 3 0 1 2 0.000186 0
-1 3 0 1 3 -1e-06 -0
-1 3 0 2 1 0.000186 -0
-1 3 0 2 2 0.00101 0
-1 3 0 2 3 2e-06 0
-1 3 0 3 1 1e-06 -0
-1 3 0 3 2 -2e-06 0
-1 3 0 3 3 -0.005992 0
0 -3 0 1 1 0.000914 -0
0 -3 0 1 3 1e-06 0
0 -3 0 2 2 0.001558 -0
0 -3 0 3 1 -1e-06 -0
0 -3 0 3 3 -0.006003 -0
0 -2 0 1 1 0.002892 -0
0 -2 0 2 2 0.052991 0
0 -2 0 3 3 0.006727 -0
0 -1 0 1 1 -0.046983 0
